Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,gql:CreatePet,536,0,10,19.26558966578572,2.194957996835001,162.3159999944619,172.26119402985074,18.44824449429339,0.0,10,17,24,32,53,71,100,110,160,160,160
POST,gql:Introspection,301,0,10,20.22858969119329,1.7125410013250075,149.23391599586466,842.0,10.359928344743116,0.0,10,19,24,30,51,79,99,120,150,150,150
POST,gql:InventoryByPet,339,0,5,14.083352893904115,1.6297920010401867,160.310125000251,124.0,11.667826275308693,0.0,5,12,18,22,33,58,94,110,160,160,160
POST,gql:PetsList,615,0,26,34.520949474836385,10.040458000730723,167.85245799837867,135748.24552845527,21.167295455206038,0.0,26,34,44,48,66,85,110,120,170,170,170
POST,gql:PetsListForInv,339,0,19,29.153565389748422,6.040000000211876,167.96449999674223,67777.2831858407,11.667826275308693,0.0,19,29,36,43,66,90,110,140,170,170,170
,Aggregated,2130,0,17,24.555333700982587,1.6297920010401867,167.96449999674223,50164.07511737089,73.31112084485993,0.0,17,25,32,38,56,79,110,120,160,170,170
